name,address,lat,long
Yong-Feng HUANG,Nanjing University Department of Astronomy 163 Xianlin Road Qixia District Nanjing 210023 Jiangsu China Nanjing,32.2173172,118.8317561
Peng-Fei CHEN,Nanjing University Department of Astronomy 22 Hankou Rd Nanjing 210093 Jiangsu China Nanjing,32.054106,118.782185
Yonghong ZHOU,Shanghai Astronomical Observatory CAS 80 Nandan Rd Shanghai 200030 Shanghai China Nanjing,31.188408,121.43397
Zhongping ZHANG,Shanghai Astronomical Observatory CAS Chinese Academy of Sciences 80 Nandan Rd Shanghai 200030 Shanghai China Nanjing,31.188408,121.43397
Xiaogong HU,Shanghai Astronomical Observatory CAS 80 Nandan Rd Shanghai 200030 Shanghai China Nanjing,31.188408,121.43397
Wenren WEI,China Nanjing ,32.060255,118.796877
Jun TAO,Shanghai Astronomical Observatory CAS 80 Nandan Rd Shanghai 200030 Shanghai China Nanjing,31.188408,121.43397
Ruixiag CHANG,Shanghai Astronomical Observatory CAS 80 Nandan Rd Shanghai 200030 Shanghai China Nanjing,31.188408,121.43397
Weimin ZHENG,Shanghai Astronomical Observatory CAS 80 Nandan Rd Shanghai 200030 Shanghai China Nanjing,31.188408,121.43397
Jinliang HOU,Shanghai Astronomical Observatory CAS Research Center for Galaxies and Cosmology 80 Nandan Rd Shanghai 200030 Shanghai China Nanjing,31.188408,121.43397
Yongjun CHEN,Shanghai Astronomical Observatory CAS 80 Nandan Road Shanghai 200030 Shanghai China Nanjing,31.188408,121.43397
Meidong CHEN,China Nanjing ,32.060255,118.796877
Jinxin HAO,National Astronomical Observatories 20A Datun Rd Chaoyang District Beijing 100012 Beijing China Nanjing,40.004439,116.385257
Yulei QIU,National Astronomical Observatories 20A Datun Rd Chaoyang District Beijing 100012 Beijing China Nanjing,40.004439,116.385257
Yihua YAN,National Astronomical Observatories 20A Datun Rd Chaoyang District Beijing 100012 Beijing China Nanjing,40.004439,116.385257
YuanYong DENG,National Astronomical Observatories 20A Datun Rd Chaoyang District Beijing 100012 Beijing China Nanjing,40.004439,116.385257
Biwei JIANG,Beijing Normal University Astronomy Dept Xin Jie Kou Wai Str 19 Haidian District Beijing 100875 Beijing China Nanjing,39.9619537,116.3662615
Bo QIN,National Astronomical Observatories 20A Datun Rd Chaoyang District Beijing 100012 Beijing China Nanjing,40.004439,116.385257
LiCai DENG,National Astronomical Observatories Stars Stellar Systems 20A Datun Rd Chaoyang District Beijing 100012 Beijing China Nanjing,40.004439,116.385257
Huaning WANG,National Astronomical Observatories 20A Datun Rd Chaoyang District Beijing 100012 Beijing China Nanjing,40.004439,116.385257
Long Long FENG,University of ScienceTechnology Centre for Astrophysics Hefei 230026 Anhui China Nanjing,31.821994,117.28059
Junhui FAN,Guangzhou University Center for Astrophysics No 230 Waihuanxilu Road Guangzhou Higher Education Mega Center Guangzhou 510006 Guangdong China Nanjing,23.05177,113.392764
Rongchuan QIAO,Chinese Academy of Sciences National Time Service Center Box 18 Lintong 710600 Shaanxi China Nanjing,34.364525,109.212076
DaMing CHEN,Shanghai Astronomical Observatory CAS 80 Nandan Rd Shanghai 200030 Shanghai China Nanjing,31.188408,121.43397
Tong-Jie ZHANG,Beijing Normal University Astronomy Dept Xin Jie Kou Wai Str 19 Haidian District Beijing 100875 Beijing China Nanjing,39.9619537,116.3662615
Wenzhang MA,Beijing Normal University Astronomy Dept Xin Jie Kou Wai Str 19 Haidian District Beijing 100875 Beijing China Nanjing,39.9619537,116.3662615
Xiang LIU,Chinese Academy of Sciences Xinjiang Astronomical Observatory 150 Science 1Street Xinshi District Urumqi 830011 Xinjiang China Nanjing,32.060255,118.796877
Yongqiang YAO,Chinese Academy of Sciences National Astronomical Observatories of China 20A Datun Road Chaoyang District Beijing China Beijing 100012 Beijing China Nanjing,40.004439,116.385257
Bruno Jungwiert,Astronomical Institute of the Academy of Sciences of the Czech Republic Galaxies and Planetary Systems Bon II 1401 141 31 Prague 4 Czech Republic,50.0816138,14.4142
Eva Markov�,Observatory Box 8 542 32 Upice Czech Republic,50.5067305,16.0115956
