Asta K. Pellinen-Wannberg,"['Swedish Inst Space Physics', 'Kiruna Division', 'Box 812', '981 28 Kiruna', 'Sweden']"
Zhongquan Qu,"['Chinese Academy of Sciences', 'Yunnan Astronomical Observatory', 'Wentai Road', 'Guandu District', 'Kunming 650011', 'Yunnan', 'China, Nanjing']"
Qingzhong LIU,"['Chinese Academy of Sciences', 'Purple Mountain Observatory', '2 West Beijing Rd', 'Nanjing 210008', 'Jiangsu', 'China, Nanjing']"
Hongchi WANG,"['Chinese Academy of Sciences', 'Purple Mountain Observatory', '2 West Beijing Rd', 'Nanjing 210008', 'Jiangsu', 'China, Nanjing']"
De Jin WU,"['Chinese Academy of Sciences', 'Purple Mountain Observatory', '2 West Beijing Rd', 'Nanjing 210008', 'Jiangsu', 'China, Nanjing']"
Jingyuan MA,"['Chinese Academy of Sciences', 'Purple Mountain Observatory', '2 West Beijing Rd', 'Nanjing 210008', 'Jiangsu', 'China, Nanjing']"
Daming WEI,"['Chinese Academy of Sciences', 'Purple Mountain Observatory', '2 West Beijing Rd', 'Nanjing 210008', 'Jiangsu', 'China, Nanjing']"
Qijun YAO,"['Chinese Academy of Sciences', 'Purple Mountain Observatory', '2 West Beijing Rd', 'Nanjing 210008', 'Jiangsu', 'China, Nanjing']"
Yanning FU,"['Chinese Academy of Sciences', 'Purple Mountain Observatory', '2 West Beijing Rd', 'Nanjing 210008', 'Jiangsu', 'China, Nanjing']"
Rui-Qing MAO,"['Chinese Academy of Sciences', 'Purple Mountain Observatory', '2 West Beijing Rd', 'Nanjing 210008', 'Jiangsu', 'China, Nanjing']"
Yiping WANG,"['Chinese Academy of Sciences', 'National Astronomical Observatories', '20A, Datun Road.  Chaoyang District', 'Beijing 100012', 'Beijing', 'China, Nanjing']"
Haisheng JI,"['Chinese Academy of Sciences', 'Purple Mountain Observatory', '2 West Beijing Rd', 'Nanjing 210008', 'Jiangsu', 'China, Nanjing']"
Guangyu LI,"['China, Nanjing ']"
Ji-Lin ZHOU,"['Nanjing University', 'School of Astronomy & Space Science', '163 Xianlin Road, Qixia District,', 'Nanjing 210023', 'Jiangsu', 'China, Nanjing']"
Qiusheng GU,"['Nanjing University', 'Astronomy Dept', '22 Hankou Rd', 'Nanjing 210093', 'Jiangsu', 'China, Nanjing']"
Yong-Feng HUANG,"['Nanjing University', 'Department of Astronomy', '163 Xianlin Road', 'Qixia District', 'Nanjing 210023', 'Jiangsu', 'China, Nanjing']"
Peng-Fei CHEN,"['Nanjing University', 'Department of Astronomy', '22 Hankou Rd', 'Nanjing 210093', 'Jiangsu', 'China, Nanjing']"
Yonghong ZHOU,"['Shanghai Astronomical Observatory CAS', '80 Nandan Rd', 'Shanghai 200030', 'Shanghai', 'China, Nanjing']"
Zhongping ZHANG,"['Shanghai Astronomical Observatory CAS', 'Chinese Academy of Sciences', '80 Nandan Rd', 'Shanghai 200030', 'Shanghai', 'China, Nanjing']"
Xiaogong HU,"['Shanghai Astronomical Observatory CAS', '80 Nandan Rd', 'Shanghai 200030', 'Shanghai', 'China, Nanjing']"
Wenren WEI,"['China, Nanjing ']"
Jun TAO,"['Shanghai Astronomical Observatory CAS', '80 Nandan Rd', 'Shanghai 200030', 'Shanghai', 'China, Nanjing']"
